,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.6860388,152.2066076,342.06552589999995,185.34916210000003,251.7367234,313.75624810000005,268.0607452,301.173792,430.839232,479.33462762224747
1,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8,332.2,307.4,427.7,551.3,300.4,503.87,407.6,598,699.4,733.14,889,1162,1289.704315926133,1359.467325,1468.02,1495.038254,1318.476279,1156.021682,1125.6645159000002,1027.055045,1093.9227866800002,1141.68,1046.980032,1051.219968,1070.1419274240002
2,Algeria,211,238,227,225,202,266,255,349,393,417,406,447,507,392,329,313,358,487,379,345,352,1290,1390,1140,1395,1120,880,1060,1060,790,790,670,1070,1750,2460,2060,1610,2120,2202,2059,2044,1942,1942,2000,2000,2000,2000,2064.5436385902167
3,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.142,0,0,0,0,0,0,0,0,0,0,0,82.084,11.2043585,29.014037,11.2467511,11.087,11.087,30.97111927,11.114712,11.114712,11.411378261883282
6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1851852,11.7444444,12.337037100000002,13.1962963,12.5333333,3.0481481,2.7148148,11.6296296,11.9481481,3.3333333,12.274074,15.9444444,22.2000001,21.8388888,20.6762962,27.0099993,17.575499899999997,19.70557,20.934959600000003,18.305488888888863,19.32572038,20.78328704,21.8284026,20.65871889,20.19766667,20.29261,20.85622,21.12735074,21.12735074,21.12735074,21.12735074,22.59728956052954
7,Argentina,0,0,0,0,0,0,0,0,26,42,56,42,28,28,32,27,32,34,0,0,0,0,15.4,57.7,62.4,63.6,65,65.7,68.5,64.3,86.343659,190.1,206.53,273.52,311.69,432.09,541.3,606.43,697.56,620.5893499,644.30074,697.3795751,576.4830516000001,533.7806057,505.3468917,494.433536,541.726864,560.4503525165047
8,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.35,83.86,135.74,92.41,94.65,87.47,94.38816,131.173,167.838,434.74698,915.2311617809428,1169.173063,1644.3750905999998,1904.067122,1439.8092316999998,1669.33682,1798.624692,1914.983997,2192.193827,2078.618315,1491.475904,1382.33088,1489.2598049015144
9,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5698324300000004,2.62569835,3.35195527,3.91061451,4.413407800000001,12.12290472,2.01117319,3.01675975,6.7486033700000005,7.871508422000001,9.76536313,8.910614540000001,10.10055862,13.03910656,0.8198460962732416,1.036166002,5.195530727,6.759776536,9.05027933,4.972067039,5.307262569500001,4.860335196,6.368715083,7.486033519999999,7.765363125,7.377094876179658,7.556182316394845
10,Australia,180.560002,176.424147,229.233894,280.535371,309.051099,286.591367,304.935539,326.97947,415.195647,495,632,741,771,900,956,1009,1052.91618,1399,1887,2406,2368,2487,1924,1102,1277,1651,2157,2117,1780,2028,1904,1782,1769,2325,2838,940.4077666,1014.841491,1341.851616,1526.025147,1334.648953,1864.472761,2449.287569,2440.634975,2460.025874,2258.340296,2141.153792,2050.854272,1944.20985
11,Austria,16.576922800000002,24.7602137,36.2481935,52.594651,80.947895,87.247398,105.288037,118.794359,154.221342,198.032503,244.96817,224.081214,221.039566,214.53396,197.688682,201.287478,302.825486,400.331322,448.606247,469.35656,634.806654,772.385455,815,769,845,2243,2068,1799,1810,1809,1809,1779,1983,2498,2526,2314.592276719761,2516.186297,2916.148987,3189.874409,3099.130505,2984.175537,3248.735269,3029.287104,3261.615417,3311.869374,2846.099808,2880.629696,2979.0611536414467
12,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.294,54.492,57.132,104,181.39,170.847,227.263,623.235,790.214,1267.735,1518.327,1254.645,1410.296,1893.08,1990.18,1733.168,1846.424,1269.964,643.147984,702.0021683920756
13,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bangladesh,0,0,0,0,0,0,18.761275,78.87504,115,171,339,381,527,642,501,503,576,748,764,758,779,769,912,1010,1150,1200,1350,1530.674222,1606.411277,1810.122888,1969.422277,2100.414042,2860.399458,3191.693943,3581.611416,4642.385283809969,5427.515429,6562.316322,8940.611606,10520.65301,10850.21162,12071.07318,14119.62703,13866.95402,14987.53148,15295.53563,13559.36427,12854.27733
16,Barbados,4.4,4.6078839,5.1007643,6.3800883,8.1335226,9.2130902,9.65,10,11.7,14.2,9.1,11.05,9.05,8.45,10.4,8.15,10.8,28.2,31.95,32,37.9,45.15,54.5,55.35,57.2,60.9,68.2,77,87.4,99.35,115,131,125.061,130.5,130.508572,94.4554238,87.34842295,138.674184,101.1606508,114.4760895,81.8687962,147.29326619999998,121.10839572999998,108.31719028999998,108.31719028999998,108.31719028999998,108.31719028999998,109.83568163267992
17,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,28.5,350.3,294.5,314.9,209,139.6,148.9,140.5,222.2,256,198.6,268.2,288.3,583.3,503.8,575.3,890.6,1053.1,1213.5,1231.3,927.2,920.4,1215.8484
18,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4673.54272,5986.047929,6866.688081,6887.659698418239,7266.03639,8993.44972,10479.60449,10638.40601,10350.50081,11065.64804,10625.76698,11234.149,11502.13361,9789.574264,9867.25428,10150.754050243162
19,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,21.05,24.4,19.35,16.95,21.95,18.45,15.6,19.75,16.5,12.968,13.8965,17.25,22.7,23.4,26.2294045,26.424778,30.5436631,28.4302095,33.8469785,34.9645316,44.69332284,63.81195079,73.11926319,76.48900331,78.57840159999999,78.13456959,75.32355381999999,75.94564669,74.40171037,80.33441762000001,84.7440775,96.6710055,100.17646868180206
20,Benin,0,0,0,0,7.382490836,17.591102,28.039281,39.181099,56.236076,72.921588,77.002245,62.006072,36.949997,43.845419,42.0659567,40.2882089,50.822119,60.225617,71.1167588,91.3364952,101.0494242,117.6481888,136.8362216,108.9361657,89.48195179999999,100.1343439,86.2081721,71.237248,90.3260268,76.64782619999998,87.0646991,83.602702,76.23084581,55.35785073,63.01335829170001,146.88090845232512,195.4999686,240.4756686,207.0252612,125.9502895,139.4330788,171.9604515,207.7754394,248.7298208,304.2539655,214.36342,207.0750637,248.9042266
21,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182.49,1450.138212,1390.779867,1346.0669525899998,1261.4158003399998,1175.291441,1190.775527,1224.886399,1335.68271,1445.39161,1430.010224,1487.6933011041665
22,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.238933573,2.933039377,3.548930804,4.866701169,8.273480865,10.46053401,18.144730429000003,11.80428371,14.29234289,19.65650825,34.34345675,39.53088521848589
23,Bolivia,0,0,0,0,0,0,1.4,1.8,2,1,1.4,4.7,2.7,5,5.8,6,8,8.6,4.5,8.5,4.6,3.4,3.8,4.2,4.5,7.4,13.5,84.9,88.4,96,126.8,135.1,112.9,158.5,210.25,337.0400567,602.9740707000001,1055.366582,1134.7184474100002,1057.93,960.2127468,1042.996647,1110.532147,1201.339479,1176.9662484300002,1190.958174,1217.183691,1265.9218623548795
24,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043.699531,1904.653523,1607.32901,1524.904859,1526.045065,1745.937067,2067.841106,2037.731948,2148.940834,2686.415541,2717.6638743000003,2127.03306,1822.304847,1958.2302,1845.715376,1946.641082,2107.1397242000003,1801.112,1831.361952,1907.2885803589536
25,Botswana,0,0,0,0,0,43.136806,61.4100154,68.8869103,57.4770247,58.281732,77.3263859,74.575285,56.4263477,55.8834497,49.9856229,31.2735431,37.2509999,54.3199602,54.687019,49.3824501,85.5699673,83.50000940000001,93.9932929,74.2857733,69.8788727,59.1586488,50.1173713,48.15732623,43.40894716,33.82063814,26.24555726,25.9193394,27.15094268,38.87265354,91.52148,117.8918620424999,103.7474138,92.20036555,46.82320777,15.20903763,22.32129155,20.40987083,18.1539509,36.00433594,46.12310158,30.0455885,28.856317,31.03246953240196
26,Brazil,0,0,0,0,0,82,81,61,113,73,111,124,57,29,46,40,40,42,32,120,573,1113,1792,1244,2064,3314,2531,1978,1642,1862,1647,1776,2448,2824,3577,2805.358,3287.162,3305.694,3642.585,2889.1595,3082.801867,3214.602243,2784.072055,2717.675069,2647.908513,2896.909952,2739.786624,2660.332812
27,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,50.6,50.675833,42.52802,58.235451,826,1177,1721,1726,1612.912427005835,1716.435981,1693.553171,1918.650334,1591.794628,1447.72,1482.59,1448.88,1666.96,1684.74,1494.740032,1665.569984,1872.100662
29,Burkina Faso,0,0,0,0,35.940308200000004,47.6546206,51.0231214,60.14742253,78.07463975,110.1363284,150.16092422999998,153.04048114399998,110.0334747,113.0524843,90.23778113,126.0467432,192,173,187,155,140,113,129,117,80.346943,0,0,0,0,0,67.335109,49.9155226,58.7341359,53.74738970000001,44.417329,56.64228334,67.93588049499999,84.32464228500001,99.34005787,95.987539,120.3447715,220.778727,209.9927554,308.38184858999995,395.78091,395.78091,405.67543278074993,453.9508092816592
30,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041783995,0.071562162,0.011470972,0.189948941,3.645216677,28.23214776,34.49892951,45.46317687,46.43364909,48.639473900000006,56.26259143,51.034026,51.034026,57.71551083037184
31,Cabo Verde,0,0,0,0,0,0,0,24.281503,23.602318,24.005557,40.0648,31.596889,25.852013,20.547993,20.617848,20.757016,27.56007622,36.425994,42.7420129,47.7004541,59.1403848,62.3665308,76.0129913,76.4913627,85.4536428,105.9154667,100.3497131,76.4165562,73.7415567,79.1026659,86.90597659999999,80.9471205,85.07968348,108.1682557,113.3888605,136.6487949625701,136.612371,138.874466,155.11148708789997,136.74857257640002,130.9531665,176.7698116,177.9533188,175.965459,196.7879258,200.826434,220.7172,228.06944344645797
32,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.5,11.3,11.6,11.6,11.7,119.668,106.446,120.527,132.503,139.651,138.2655,177.4,163.7,183.7,185.8,187.918,142.2135,152.5420125,160.44411309999998,172.1060236,175.95,376.7508417,400.019008,370.593216,388.74196240030034
