Remittance inflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023e,% of GDP in 2023
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,140.69516629999998,378.2066570180999,179.1165613764,219.4160874814624,347.1652918141468,253.3678216033428,348.6247173026476,627.7108023773859,822.7316302455583,803.5464537865573,828.5719041111796,788.9171152452299,320.0,370.0,300.0,2.007897731075564
Albania,597.8,699.3,733.5699999999999,888.748582309638,1160.6721050195456,1289.7043159261334,1359.46732466364,1468.02,1865.6000000000001,1717.6980121651357,1586.5742713564164,1552.0785143403584,1419.7725154302648,1281.8481137530773,1421.0074543659491,1290.8635080940198,1306.0091669250385,1311.8224321379964,1458.2100558531142,1472.8122416103738,1465.9872124909666,1718.3559183217922,1745.2451357665093,1970.0,8.553317124001389
Algeria,0.0,0.0,0.0,0.0,0.0,169.99999999999272,189.00000000000816,99.00456334764347,103.63188721222971,150.3369614945351,196.60000000000002,202.86981618834116,214.8412686354578,209.6014434446368,2452.4426170725615,1997.3934583539626,1989.0235971229508,1791.8870732862547,1984.9983991317279,1785.838683222985,1699.6089346251986,1792.158957014779,1658.975809673424,1770.0,0.7901785714285714
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,47.416323738830535,53.001417773052474,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.084,0.2,17.972037,0.20475110000000002,40.348853989480084,36.63741134016822,30.97111927077802,11.1147116,3.9880483800000004,1.41819584,1.5792471499999998,3.445473467593008,8.05305089441933,12.6311493197743,14.00549147631333,14.688757854450236,0.015659656561247584
Antigua and Barbuda,17.342962962962964,23.676666666666666,14.242166666666666,16.372237037037035,17.601625925925923,18.30548888888889,19.32572037037037,20.783287037037034,21.82840259259259,20.658718888888888,20.197666666666667,20.29261,20.85622,21.127350740740738,32.1,31.24441226323777,26.705675645720802,24.02004434905414,32.76826532349858,36.87528210868377,36.22049098345022,45.26585039935317,47.1833982831926,49.448219299316406,2.537107198528292
Argentina,86.34365858988221,189.6,206.63,273.42,311.78,432.09,540.7,606.4989265171863,705.1444033583634,628.542376088907,644.3007400571922,697.3795751299164,577.5329621007733,535.0044093672885,505.34689173035713,494.4335321399667,391.5790476635139,479.93745980843084,522.4415030085651,561.3984447197575,648.0900500218147,901.1231830179325,1267.4490712534644,1600.0,0.2572347266881029
Armenia,182.16,209.24,263.89,335.86,787.519510008093,915.2311617809423,1169.1730625998412,1644.375090622168,1904.0671226007948,1439.8092316840598,1669.3368191136528,1798.6246922617302,1914.9839966162663,2192.19382694676,2078.618314800884,1491.475903470468,1382.3308865982758,1538.65575177642,1487.814907952822,1527.9374568727762,1327.006085340228,1556.8225439487724,2034.814437276094,1850.0,7.538712306438468
Aruba,1.0837988826815643,1.335195530726257,1.3296089385474863,0.2737430167597765,1.458100558659218,0.8198460962732412,1.0361660024632287,5.195530726256983,6.759776536312849,9.050279329608937,4.972067039106145,5.307262569832401,4.860335195530727,58.14674230528027,58.6279950761846,53.640100518224415,52.7,56.14048504732259,36.92029544809796,34.264018270971974,34.984040417256566,35.84563716051119,38.279493453956476,34.44985784127358,0.9001791962705403
Australia,518.3340528708127,486.7446858239225,465.7225339779335,651.572145062106,824.729101175224,940.4077666410773,1014.8414908741735,1341.851616348352,1526.0251473274984,1334.64895260383,1864.472761351687,2449.2875690519068,2405.3168666411775,2442.4500251786517,2329.6566769602314,2174.651380404773,2056.844753410693,2001.9284532472907,1867.930551388161,1762.6455948096495,1196.628175967295,936.4230631670166,1297.8394809535432,1656.2392578125,0.0980023229474852
Austria,0.0,0.0,0.0,0.0,0.0,2313.507128007756,2517.2000000000003,2915.6221516159785,3189.8087426273923,3101.681748755873,2983.4884455988363,3250.804925703443,3028.1886989857144,3261.5056839693007,3239.901778634926,2863.606817405199,2887.576591281874,2956.9342458241636,3022.591419432235,2996.0586798971513,3031.3369285060635,3223.7018928571424,2935.48788116884,3000.0,0.5703422053231939
