Remittance outflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Albania,0.0,0.0,0.0,4.13572807,4.86374036,6.5117980461410605,26.532132030652928,9.94,279.7,229.8197823330384,209.30682156565598,150.85510534462838,215.77564388998007,190.5512936434099,178.722842218417,153.31240047805892,147.15675738801244,106.33098291276094,114.87933694313179,119.67964076947914,124.63037566919759,140.34430970129867,149.48965321212165,0.7833655778028699
Algeria,0.0,0.0,0.0,0.0,0.0,26.999999999998785,35.000000000001585,48.86373265194798,26.782545164134874,45.70240583643372,28.0,30.901604941008035,44.242618918850376,38.715810197915296,295.9221121414799,72.12899059293858,76.63349632156572,214.37805673439382,87.00638320505239,81.5453645801962,149.25346526299762,83.25931940874878,60.22159792386957,0.030873371231349107
Angola,266.29,216.06,223.50795912,229.84996999999998,296.0095912,214.9052159,412.66678497,602.6714512799999,669.453676,716.0,714.458886,564.261541640106,2051.320868263263,2395.9658557973194,2746.6158731854075,1252.9090116900002,1176.11031356,961.4152762399999,681.6270154922674,549.0820425510593,576.4714367789888,445.40014382405803,517.6681873929803,0.42161913275912416
Antigua and Barbuda,1.558148148148148,1.5644444444444443,1.4114814814814813,1.4892925925925926,1.5667370370370368,1.6701407407407407,1.8371548148148147,2.1311003703703704,2.367652222222222,2.1223629629629626,2.06696,2.0471162962962963,2.1576607407407407,2.222448148148148,52.099999999999994,52.82264438,54.74292749629629,55.44539011111111,54.17426754814814,47.77273321741111,44.60805724616556,52.574952038868524,59.787266048250416,3.400868375895928
Argentina,267.7,256.09999999999997,119.55000000000001,180.41,234.47000000000003,314.01,356.5,463.19209727043307,631.436069113049,766.5715483081789,1037.765445694394,1137.05450560572,979.2059223331753,887.8034865611369,732.4145571459818,685.0013659142787,769.2420579867332,1060.484529955312,1010.3755356443319,669.9322914146255,521.040572482506,596.899083055417,590.4123433963903,0.09362618550987309
Armenia,3.52,18.08,22.79121445484634,25.591178,184.1668452596311,207.3690581414882,182.0599332143101,238.8327306794502,223.59746686358557,180.49451585985582,227.42987633583851,300.39419348561984,314.7886917454556,355.2978612338362,390.5899788144923,363.78846880536753,358.0155071149378,367.4964437645902,341.2625754164423,362.6718341478563,304.365569428434,352.7756077196482,605.4404546451947,3.1025953399876736
Aruba,43.74301675977654,39.11173184357542,45.9608938547486,47.6368715083799,49.072625698324025,61.93074493957178,71.86417125112862,73.07262569832402,75.64245810055866,72.96089385474862,64.91620111731844,63.910614525139664,67.82122905027933,96.60063573449254,101.05532190846017,101.22753239930084,98.0,108.04558464098147,111.65095692643361,112.62759755060499,101.76256721989665,111.33164874942003,110.36103827182616,3.1131463546354348
Australia,868.990623794047,855.0783674215286,991.4884924146961,1380.8071378144095,1608.9665095388423,1531.0792164499176,2051.2272194533475,2980.8708740737566,3366.427026749123,3224.4011816774973,4655.461396622254,6597.638171474064,7288.016963602329,7353.448444880347,6916.961339983245,6032.850094659934,6179.374297708557,6793.253706781762,7268.447090409901,7438.424190330277,4422.969039301674,3810.033247029249,6545.836916461583,0.38447161831352095
Austria,0.0,0.0,0.0,0.0,0.0,2118.6724810334554,2302.2,2592.0714659529845,2984.770130750559,2909.179496783331,2989.9783049061966,3622.7558523809294,3450.702386156926,3895.7007785215333,4962.526962174311,4750.215267752608,4885.123590773487,5369.093592332485,6206.351378910259,6423.312126488024,6214.084544945243,7042.6936610389575,7119.998421090392,1.5115935046240319
Azerbaijan,100.96199999999999,141.882,187.88099999999997,131.284,172.305,239.397,274.348,404.53499999999997,567.345,638.1009999999999,953.5889999999999,1279.63,2072.681,1902.6000000000001,2031.324,1293.019,740.236,603.318,579.5,621.549,731.8779999999999,812.858,811.938,1.0314122025888899
"Bahamas, The",56.17,53.62,57.66973,62.75,71.39,83.96435,100.28999999999999,94.99000000000001,65.92482,63.34,88.03999999999999,119.727,139.704,138.725,150.8192409824,178.8001407306,193.8485178571,262.3281674932,210.70145042809997,206.89999999999998,235.46849352000152,246.1343280200017,216.50792247999863,1.6787463943552658
Bahrain,1012.681829787234,1286.9188510638298,871.5425531914893,1082.18085106383,1119.9468085106382,1223.4042553191491,1530.8510638297873,1482.7712765957447,1774.4890212765958,1390.9574468085104,1641.7553191489362,2050.0000000000005,2074.468085106383,2165.9574468085107,2364.36170212766,2367.3,2391.4893617021276,2465.9574468085107,3268.8829787234044,2890.1595744680853,2738.0319148936173,2526.86170212766,2711.7021276595747,6.109776553319007
Bangladesh,4.3782166851098925,3.6997067081567314,5.734840986057328,7.068562161971785,7.743207699491124,5.5,3.3222095083878544,2.8098322420427824,14.330657115053508,7.791556368234099,9.418584306846945,11.612731706398234,11.741740257177064,19.553597140380074,32.521361434843215,32.102746715594286,41.21354068927695,46.83824451161324,56.93218462115269,82.79258832592859,94.82781418366169,100.46483701800284,136.76574215042504,0.02971869729757759
Belarus,9.600000000000001,33.2,48.800000000000004,28.099999999999998,47.1,52.199999999999996,70.4,103.2,171.0,133.0,115.7,133.8,141.70000000000002,150.79999999999998,181.2,162.3,123.8,137.8,159.9,185.89999999999998,245.2,240.20093905,236.1054921,0.3241648824054369
Belgium,0.0,0.0,1628.7417413896976,2097.327653918991,2342.4835005050472,2426.0836505462485,2564.697223166728,3201.618745394667,4123.8,4291.702746261403,4142.28527316016,4504.3667709956435,4303.01819784427,4548.072301030756,5251.3098382084845,4441.158754041149,4564.8187157493585,4747.435274462937,5611.3637246703365,5335.509512608165,6058.985994884948,7104.602897113993,7031.047117762468,1.2142194694776298
Belize,6.435358715,16.029825407301963,16.651088771768524,19.74950896578509,18.013818139463524,19.332237978542018,20.60862833764989,21.45497541592177,27.977571046178973,22.50892220453628,21.99180770542831,23.5,26.32684622594624,31.523217674276836,33.26979750727424,41.16136053044011,45.20222080037393,45.60761989013333,42.97910073585681,41.88105182840853,42.407418735984116,41.69583097359389,41.39547238296429,1.386782994404164
